series,event,circuit_canonical,car_class,season,total_laps,non_green_or_pit,missing_tyre_age,field_wide_trimmed,per_car_trimmed,insufficient_car_laps,kept,pct_kept
elms,Aragon,Aragon,LMP2,2023,865,93,0,33,78,0,661,76.4
elms,Barcelona,Barcelona,LMP2,2022,2085,224,0,30,190,0,1641,78.7
elms,Barcelona,Barcelona,LMP2,2023,872,93,0,15,80,0,684,78.4
elms,Barcelona,Barcelona,LMP2,2024,1908,188,0,45,173,0,1502,78.7
elms,Barcelona,Barcelona,LMP2,2025,1631,199,0,108,139,0,1185,72.7
elms,Imola,Imola,LMP2,2022,2095,362,0,98,167,0,1468,70.1
elms,Imola,Imola,LMP2,2024,1776,231,0,143,145,0,1257,70.8
elms,Imola,Imola,LMP2,2025,1515,273,0,144,113,14,971,64.1
elms,Monza,Monza,LMP2,2022,1940,384,0,60,158,8,1330,68.6
elms,Mugello,Mugello,LMP2,2024,1520,291,0,118,120,0,991,65.2
elms,Paul Ricard,Paul Ricard,LMP2,2022,2023,299,0,59,170,0,1495,73.9
elms,Paul Ricard,Paul Ricard,LMP2,2023,882,75,0,18,83,0,706,80.0
elms,Paul Ricard,Paul Ricard,LMP2,2024,1711,175,0,84,151,0,1301,76.0
elms,Paul Ricard,Paul Ricard,LMP2,2025,1265,193,0,88,104,13,867,68.5
elms,Portimao,Portimao,LMP2,2021,1566,135,0,12,146,15,1258,80.3
elms,Portimao,Portimao,LMP2,2022,1737,270,0,255,125,6,1081,62.2
elms,Portimao,Portimao,LMP2,2023,675,119,0,65,49,0,442,65.5
elms,Portimao,Portimao,LMP2,2024,1757,257,0,175,138,0,1187,67.6
elms,Portimao,Portimao,LMP2,2025,1163,136,0,68,102,42,815,70.1
elms,Silverstone,Silverstone,LMP2,2025,1269,207,0,479,61,8,514,40.5
elms,Spa,Spa,LMP2,2021,1021,157,0,31,88,19,726,71.1
elms,Spa,Spa,LMP2,2022,1468,231,0,55,122,0,1060,72.2
elms,Spa,Spa,LMP2,2023,603,202,0,47,38,0,316,52.4
elms,Spa,Spa,LMP2,2024,1325,247,0,107,98,0,873,65.9
elms,Spa,Spa,LMP2,2025,1078,231,0,110,76,14,647,60.0
elms,Aragon,Aragon,LMP2 Pro/Am,2023,1170,130,0,51,102,0,887,75.8
elms,Barcelona,Barcelona,LMP2 Pro/Am,2023,1525,164,0,9,141,0,1211,79.4
elms,Barcelona,Barcelona,LMP2 Pro/Am,2024,1072,118,0,39,93,0,822,76.7
elms,Barcelona,Barcelona,LMP2 Pro/Am,2025,1032,140,0,69,86,0,737,71.4
elms,Imola,Imola,LMP2 Pro/Am,2024,1049,138,0,103,83,0,725,69.1
elms,Imola,Imola,LMP2 Pro/Am,2025,994,183,0,99,74,0,638,64.2
elms,Mugello,Mugello,LMP2 Pro/Am,2024,803,169,0,54,62,5,513,63.9
elms,Paul Ricard,Paul Ricard,LMP2 Pro/Am,2023,1376,123,0,23,127,0,1103,80.2
elms,Paul Ricard,Paul Ricard,LMP2 Pro/Am,2024,995,111,0,31,87,0,766,77.0
elms,Paul Ricard,Paul Ricard,LMP2 Pro/Am,2025,846,139,0,99,63,0,545,64.4
elms,Portimao,Portimao,LMP2 Pro/Am,2023,950,178,0,172,64,0,536,56.4
elms,Portimao,Portimao,LMP2 Pro/Am,2024,969,141,0,102,76,0,650,67.1
elms,Portimao,Portimao,LMP2 Pro/Am,2025,1072,135,0,76,88,0,773,72.1
elms,Silverstone,Silverstone,LMP2 Pro/Am,2025,727,133,0,40,57,11,486,66.9
elms,Spa,Spa,LMP2 Pro/Am,2023,809,282,0,61,49,19,398,49.2
elms,Spa,Spa,LMP2 Pro/Am,2024,696,136,0,71,51,12,426,61.2
elms,Spa,Spa,LMP2 Pro/Am,2025,637,142,0,72,44,13,366,57.5
