series,circuit,car_class,year,winner_car,fuel_range_laps,longest_stint,n_full_stints,n_stints,ran_fuel_limited
wec,sebring,HYPERCAR,2022,8,31,31,6,8,True
wec,sebring,HYPERCAR,2023,7,31,33,7,8,True
wec,spa,HYPERCAR,2022,7,27,26,2,7,True
wec,spa,HYPERCAR,2023,5,27,27,5,6,True
wec,spa,HYPERCAR,2024,6,27,34,3,6,True
wec,spa,HYPERCAR,2025,5,27,27,3,8,True
wec,spa,HYPERCAR,2026,7,27,28,2,11,True
elms,aragon,LMP2,2023,22,22,24,4,6,True
elms,barcelona,LMP2,2022,9,30,27,1,6,True
elms,barcelona,LMP2,2023,28,30,27,1,8,True
elms,barcelona,LMP2,2024,22,30,27,3,6,True
elms,barcelona,LMP2,2025,10,30,30,2,6,True
elms,imola,LMP2,2022,9,27,26,4,8,True
elms,imola,LMP2,2024,10,27,27,2,6,True
elms,imola,LMP2,2025,9,27,26,3,7,True
elms,monza,LMP2,2022,9,22,24,4,7,True
elms,mugello,LMP2,2024,9,25,25,2,8,True
elms,paul_ricard,LMP2,2022,9,24,24,4,6,True
elms,paul_ricard,LMP2,2023,22,24,24,4,7,True
elms,paul_ricard,LMP2,2024,9,24,24,2,9,True
elms,paul_ricard,LMP2,2025,10,24,24,2,6,True
elms,portimao,LMP2,2021,22,27,32,4,5,True
elms,portimao,LMP2,2022,9,27,27,3,6,True
elms,portimao,LMP2,2023,22,27,29,2,4,True
elms,portimao,LMP2,2024,9,27,28,2,8,True
elms,portimao,LMP2,2025,9,27,26,2,6,True
elms,silverstone,LMP2,2025,9,23,25,2,7,True
elms,spa,LMP2,2021,22,21,23,4,7,True
elms,spa,LMP2,2022,9,21,18,1,7,True
elms,spa,LMP2,2023,25,21,20,2,9,True
elms,spa,LMP2,2024,9,21,19,2,6,True
elms,spa,LMP2,2025,9,21,21,2,7,True
elms,aragon,LMP2 Pro/Am,2023,21,22,24,4,6,True
elms,barcelona,LMP2 Pro/Am,2023,34,30,27,1,7,True
elms,barcelona,LMP2 Pro/Am,2024,29,30,26,0,6,False
elms,barcelona,LMP2 Pro/Am,2025,20,30,30,2,7,True
elms,imola,LMP2 Pro/Am,2024,20,27,29,3,7,True
elms,imola,LMP2 Pro/Am,2025,20,27,27,4,7,True
elms,mugello,LMP2 Pro/Am,2024,19,25,28,3,8,True
elms,paul_ricard,LMP2 Pro/Am,2023,21,24,24,3,6,True
elms,paul_ricard,LMP2 Pro/Am,2024,21,24,27,3,6,True
elms,paul_ricard,LMP2 Pro/Am,2025,20,24,27,4,6,True
elms,portimao,LMP2 Pro/Am,2023,3,27,27,3,4,True
elms,portimao,LMP2 Pro/Am,2024,20,27,31,3,7,True
elms,portimao,LMP2 Pro/Am,2025,27,27,26,2,8,True
elms,silverstone,LMP2 Pro/Am,2025,20,23,25,2,7,True
elms,spa,LMP2 Pro/Am,2023,3,21,21,2,10,True
elms,spa,LMP2 Pro/Am,2024,3,21,22,3,6,True
elms,spa,LMP2 Pro/Am,2025,20,21,21,2,7,True
