compound_races,compound_race_concentration,circuit,compound,degree,cv_rmse_s,fuel_slope_s_per_lap,fuel_slope_se,fuel_slope_classical_se,fuel_slope_ci_low,fuel_slope_ci_high,n_laps,n_stints,n_clusters,deg_p1,deg_p1_se,deg_p1_classical_se,deg_p1_ci_low,deg_p1_ci_high,deg_p2,deg_p2_se,deg_p2_classical_se,deg_p2_ci_low,deg_p2_ci_high
4,0.3048780487804878,barcelona,MEDIUM,1,0.615945529572048,-0.054353093390590246,0.001238244694014095,0.0006394974353185148,-0.05681824921013984,-0.051887937571040654,4394,261,79,0.08176869236853523,0.005736886970568127,0.0018982435640544665,0.0703474277590757,0.09318995697799477,,,,,
4,0.323943661971831,barcelona,SOFT,1,0.615945529572048,-0.054353093390590246,0.001238244694014095,0.0006394974353185148,-0.05681824921013984,-0.051887937571040654,4394,261,79,0.08180586075799301,0.005896557122038287,0.0022222733059573513,0.07006671729550239,0.09354500422048363,,,,,
4,0.32967032967032966,hungaroring,HARD,1,0.7093417639244873,-0.044456205367779944,0.0017461798346549461,0.000696557073190502,-0.04793329363867517,-0.04097911709688472,4724,215,78,0.060520127576277005,0.004181375112018748,0.0016629310943846187,0.052193946005702076,0.06884630914685194,,,,,
4,0.3157894736842105,hungaroring,MEDIUM,1,0.7093417639244873,-0.044456205367779944,0.0017461798346549461,0.000696557073190502,-0.04793329363867517,-0.04097911709688472,4724,215,78,0.0592511679544252,0.0035073513579569273,0.0018715308259070079,0.05226713914672205,0.06623519676212836,,,,,
4,0.6896551724137931,hungaroring,SOFT,1,0.7093417639244873,-0.044456205367779944,0.0017461798346549461,0.000696557073190502,-0.04793329363867517,-0.04097911709688472,4724,215,78,0.09074932486525356,0.01219797351596393,0.004646382085275808,0.06646005648675928,0.11503859324374784,,,,,
3,0.6296296296296297,imola,HARD,1,0.8795510618130095,-0.04341640757950227,0.0037303921881888776,0.0012926772308270397,-0.050886389085959494,-0.035946426073045046,2811,122,58,0.0422994281063751,0.006323379935870106,0.0023803277363247167,0.029637078198821436,0.05496177801392877,,,,,
3,0.3709677419354839,imola,MEDIUM,1,0.8795510618130095,-0.04341640757950227,0.0037303921881888776,0.0012926772308270397,-0.050886389085959494,-0.035946426073045046,2811,122,58,0.013989965672832838,0.006855040036374404,0.0022612379199465197,0.00026298477793612607,0.02771694656772955,,,,,
2,0.6666666666666666,imola,SOFT,1,0.8795510618130095,-0.04341640757950227,0.0037303921881888776,0.0012926772308270397,-0.050886389085959494,-0.035946426073045046,2811,122,58,-0.04959546261457337,0.03639041031647752,0.019655599891586214,-0.12246600232274674,0.023275077093599994,,,,,
2,0.75,interlagos,HARD,1,0.5035991455468126,-0.03797319256075049,0.001460316853102125,0.0005937200672021034,-0.04090353270840561,-0.03504285241309537,2907,158,53,0.0648799778448299,0.0029607376166497657,0.0055276112375186055,0.0589388231657537,0.07082113252390612,,,,,
3,0.4358974358974359,interlagos,MEDIUM,1,0.5035991455468126,-0.03797319256075049,0.001460316853102125,0.0005937200672021034,-0.04090353270840561,-0.03504285241309537,2907,158,53,0.058694929276275065,0.0028516524070932676,0.0016053256784165425,0.05297267008443489,0.06441718846811524,,,,,
3,0.4605263157894737,interlagos,SOFT,1,0.5035991455468126,-0.03797319256075049,0.001460316853102125,0.0005937200672021034,-0.04090353270840561,-0.03504285241309537,2907,158,53,0.0445278270598104,0.0034688643508841593,0.0018211407675216488,0.037567041492916314,0.05148861262670448,,,,,
4,0.2714285714285714,jeddah,HARD,1,0.6957126683295591,-0.06958882666520516,0.0031248800508703284,0.001624743711038736,-0.07581670362534026,-0.06336094970507006,2931,137,74,0.00904768701681391,0.00474354768663045,0.002261013097311149,-0.0004061898891620456,0.018501563922789864,,,,,
4,0.32786885245901637,jeddah,MEDIUM,1,0.6957126683295591,-0.06958882666520516,0.0031248800508703284,0.001624743711038736,-0.07581670362534026,-0.06336094970507006,2931,137,74,0.01247489973806637,0.004641671923533566,0.002878869833242594,0.0032240609351403392,0.021725738540992398,,,,,
2,0.6666666666666666,jeddah,SOFT,1,0.6957126683295591,-0.06958882666520516,0.0031248800508703284,0.001624743711038736,-0.07581670362534026,-0.06336094970507006,2931,137,74,-0.001261137390203615,0.022978242537734592,0.011005573440315615,-0.047056708725908655,0.044534433945501425,,,,,
3,0.4166666666666667,las_vegas,HARD,1,0.7438982344412738,-0.08390925261113491,0.0024601437591426534,0.001636647980647383,-0.08883751276366894,-0.07898099245860088,2205,131,57,0.03661452977641888,0.006551202582426444,0.0030240913735944995,0.023490894005880898,0.04973816554695686,,,,,
